gene_id	GBP-24	GBP-25	GBP-22	GBP-23	GPO-1	GPO-2	GPO-3	GPO-4	GBP-9	GBP-10	GBP-11	GBP-12	GBP-5	GBP-6	GBP-20	GBP-21	GBP-3	GBP-4	GBP-7	GBP-8	GBP-16	GBP-17	GBP-18	GBP-19	GPO-36	GPO-37	GPO-30	GPO-31	GPO-32	GPO-33	GPO-34	GPO-35	GPO-160	GPO-161
Ec-00_000010	0.177	0.169	0.118	0.363	0.208	0	0	0.158	9.674	2.954	9.03	1.003	1.558	11.698	0	0.07	0	0.204	0.096	0.042	2.309	1.967	17.165	13.125	0	0	0.175	0.241	0.278	0.047	0	0	11.614	5.322
Ec-00_000020	0	0.775	0.512	0.272	0	0	0	1.065	0.44	0.891	1.426	1.169	2.099	3.357	0.609	0	0	0	2.59	0	0	1.125	4.899	0.745	0	0	0	0	0.469	0.471	0	0	0	0.543
Ec-00_000030	0.441	0.324	0.119	0.199	1.121	1.939	1.421	1.186	0.858	0.558	0.827	1.709	0.73	0.415	0.297	0.297	0.607	0.287	0.496	0.499	0.315	0.313	0.795	0.415	0.036	0.043	0.246	0.034	0.131	0.066	0.024	0.03	0.225	0.265
Ec-00_000050	12.424	12.771	10.682	9.844	20.328	33.193	9.855	13.445	6.592	6.868	6.052	7.574	6.916	3.999	10.945	6.906	8.96	4.874	6.943	4.896	5.29	6.62	16.778	14.566	0	0.276	3.819	0.978	4.819	5.574	4.093	2.024	4.694	3.844
Ec-00_000060	0	0.336	0	0.221	0.758	0.359	0.443	0.866	0.239	0.241	0.515	1.056	0.853	1.01	0.33	0	0	0	0	0	0	0.203	0	0.404	0	0	0	0	0	0	0	0	0.438	0.491
Ec-00_000070	1.972	2.536	3.693	1.952	1.273	3.351	1.486	2.26	1.335	2.341	0.768	1.103	3.394	1.583	1.291	1.149	1.88	2.246	2.552	2.214	1.337	1.364	1.732	2.41	0	0	0.119	0.295	0.379	0.856	0.411	0.174	0.98	1.464
Ec-00_000080	6.127	6.787	6.312	7.18	8.148	8.263	5.339	5.547	3.373	2.73	2.96	2.586	2.572	1.98	3.48	4.39	3.027	2.144	2.116	2.496	3.129	3.638	6.71	4.375	0	0	0.12	0	0.192	0	0.069	0	6.147	7.415
Ec-00_000090	3.967	3.271	2.851	2.464	3.395	7.287	2.914	4.559	4.901	5.149	4.068	4.948	7.412	3.937	4.211	3.396	7.546	4.287	4.018	1.744	4.72	4.12	4.542	4.571	0	0	0.084	1.041	0.067	0.47	0.387	0.185	1.643	1.705
Ec-00_000100	0.944	0.36	0.595	0	0	0	0.948	0.618	2.045	1.552	0.552	0.452	0	0	1.413	0.825	2.024	1.434	0.376	0.489	0.808	0.435	1.895	0.433	0	0	0.684	2.824	0.544	0.547	0.394	0.501	0.469	0.841
Ec-00_000110	9.179	9.74	3.764	3.767	19.722	10.362	22.939	10.719	23.044	23.228	34.481	15.685	8.298	17.012	11.636	12.02	13.202	11.875	23.859	26.05	16.786	14.055	10.171	9.605	8.847	11.762	27.911	32.077	15.054	12.859	23.704	22.115	29.215	29.957
Ec-00_000120	37.542	41.837	13.664	16.663	23.918	27.089	27.234	31.073	11.745	11.14	18.618	11.043	8.747	10.257	19.022	16.879	26.16	12.351	5.127	19.318	10.738	16.256	18.37	20.495	37.826	34.955	26.533	10.137	35.564	35.314	17.532	14.739	32.159	32.905
Ec-00_000130	41.229	32.23	20.411	26.865	52.154	149.93	59.235	79.901	24.445	18.27	30.423	27.671	9.184	17.903	38.195	46.551	27.322	23.674	23.15	16.016	32.389	33.949	61.438	63.536	2.579	1.542	25.059	8.758	43.615	33.902	14.591	12.726	16.871	16.392
Ec-00_000140	4.507	4.408	5.168	3.963	8.137	14.479	6.371	7.654	6.956	7.387	7.204	7.608	8.571	7.537	5.194	4.252	7.014	4.281	6.272	5.54	3.877	5.317	7.868	5.848	3.365	2.481	2.632	2.983	2.714	2.887	2.446	1.65	5.014	5.401
Ec-00_000150	40.086	41.611	19.287	15.941	17.77	18.098	24.228	23.63	8.254	11.205	10.713	18.214	21.663	14.511	10.397	7.924	15.721	19.729	1.152	1.6	0.413	1.157	15.204	13.702	0.367	0.293	9.651	5.656	6.23	5.473	2.898	2.558	8.148	6.531
