sample_id	strain	phenotype	sex	stage	generation
GBP-3	Ec566meiotic	imm	ND	immature/mature	parthenosporophyte
GBP-4	Ec566meiotic	imm	ND	immature/mature	parthenosporophyte
GBP-5	Ec32	wt	male	immature/mature	gametophyte
GBP-6	Ec32	wt	male	immature/mature	gametophyte
GBP-7	Ec566meiotic	wt	ND	immature/mature	parthenosporophyte
GBP-8	Ec566meiotic	wt	ND	immature/mature	parthenosporophyte
GBP-9	Ec566meiotic	oro	ND	immature/mature	gametophyte
GBP-10	Ec566meiotic	oro	ND	immature/mature	gametophyte
GBP-11	Ec566meiotic	oro/imm	ND	immature/mature	gametophyte
GBP-12	Ec566meiotic	oro/imm	ND	immature/mature	gametophyte
GBP-16	Ec32	wt	male	immature	base
GBP-17	Ec32	wt	male	immature	base
GBP-18	Ec32	wt	male	immature	Up-rigth
GBP-19	Ec32	wt	male	immature	Up-rigth
GBP-20	Ec722	dis	male	immature/mature	parthenosporophyte
GBP-21	Ec722	dis	male	immature/mature	parthenosporophyte
GBP-22	Ec602	imm	female	immature	gametophyte
GBP-23	Ec602	imm	female	immature	gametophyte
GBP-24	Ec603	imm	male	immature	gametophyte
GBP-25	Ec603	imm	male	immature	gametophyte
GPO-1	Ec603	imm	male	mature	gametophyte
GPO-2	Ec603	imm	male	mature	gametophyte
GPO-3	Ec602	imm	female	mature	gametophyte
GPO-4	Ec602	imm	female	mature	gametophyte
GPO-30	Ec374	sam	male	immature/mature	gametophyte
GPO-31	Ec374	sam	male	immature/mature	gametophyte
GPO-32	Ec494	oro	male	immature/mature	gametophyte
GPO-33	Ec494	oro	male	immature/mature	gametophyte
GPO-34	Ec17	wt	male/female	immature/mature	sporophyte
GPO-35	Ec17	wt	male/female	immature/mature	sporophyte
GPO-36	Ec32	wt	male	unfused	gamete
GPO-37	Ec32	wt	male	unfused	gamete
GPO-160	Ec582	oro/oro	male/female	immature/mature	gametophyte
GPO-161	Ec582	oro/oro	male/female	immature/mature	gametophyte
