gene_id	chr_id	transcript_length	gene_group
Ec-00_000010	chr_00	1971	
Ec-00_000020	chr_00	195	
Ec-00_000030	chr_00	2802	
Ec-00_000050	chr_00	873	
Ec-00_000060	chr_00	360	
Ec-00_000070	chr_00	965	
Ec-00_000080	chr_00	1910	
Ec-00_000090	chr_00	1367	
Ec-00_000100	chr_00	168	
Ec-00_000110	chr_00	2035	
Ec-00_000120	chr_00	234	
Ec-00_000130	chr_00	390	
Ec-00_000140	chr_00	3976	
Ec-00_000150	chr_00	822	GBG-gametophyte
Ec-00_000160	chr_00	600	
Ec-00_000170	chr_00	1339	
Ec-00_000180	chr_00	291	
Ec-00_000190	chr_00	2682	
Ec-00_000200	chr_00	279	
Ec-00_000210	chr_00	1706	
Ec-00_000230	chr_00	818	
Ec-00_000240	chr_00	1740	
Ec-00_000250	chr_00	390	
Ec-00_000260	chr_00	465	
Ec-00_000280	chr_00	105	
Ec-00_000290	chr_00	974	
Ec-00_000300	chr_00	1874	
Ec-00_000310	chr_00	458	
Ec-00_000320	chr_00	1155	SBG-female
Ec-00_000330	chr_00	504	
Ec-00_000340	chr_00	509	
Ec-00_000350	chr_00	1974	
Ec-00_000360	chr_00	1753	
Ec-00_000370	chr_00	1524	
Ec-00_000380	chr_00	3063	
Ec-00_000390	chr_00	885	
Ec-00_000400	chr_00	510	
Ec-00_000410	chr_00	663	
Ec-00_000430	chr_00	713	
Ec-00_000440	chr_00	963	
Ec-00_000450	chr_00	900	
Ec-00_000500	chr_00	1785	
Ec-00_000510	chr_00	804	
Ec-00_000520	chr_00	666	
Ec-00_000530	chr_00	630	
Ec-00_000540	chr_00	1835	
Ec-00_000550	chr_00	1056	
Ec-00_000560	chr_00	465	
Ec-00_000570	chr_00	225	
Ec-00_000580	chr_00	210	
Ec-00_000590	chr_00	465	
Ec-00_000600	chr_00	549	
Ec-00_000620	chr_00	729	
Ec-00_000630	chr_00	1155	
Ec-00_000640	chr_00	672	
Ec-00_000650	chr_00	1512	
Ec-00_000660	chr_00	1028	
Ec-00_000670	chr_00	1225	
Ec-00_000680	chr_00	966	
Ec-00_000690	chr_00	629	
Ec-00_000710	chr_00	609	
Ec-00_000720	chr_00	588	
Ec-00_000730	chr_00	1530	
Ec-00_000740	chr_00	1498	
Ec-00_000750	chr_00	354	GBG-sporophyte
Ec-00_000760	chr_00	960	
