gene_id	chr_id	transcript_length	gene_group	description	GO-labels
Ec-00_000010	chr_00	1971		Ferric reductase NAD binding	GO:0016491,GO:0055114
Ec-00_000020	chr_00	195		hypothetical protein	   
Ec-00_000030	chr_00	2802		Ankyrin repeat-containing domain	   
Ec-00_000050	chr_00	873		expressed unknown protein	   
Ec-00_000060	chr_00	360		hypothetical protein	   
Ec-00_000070	chr_00	965		telomerase reverse transcriptase	   
Ec-00_000080	chr_00	1910		FAR1 DNA binding domain	   
Ec-00_000090	chr_00	1367		expressed unknown protein	   
Ec-00_000100	chr_00	168		Cupredoxin	GO:0005507
Ec-00_000110	chr_00	2035		Ammonium/urea transporter	GO:0006810,GO:0008519,GO:0016020,GO:0055085 
Ec-00_000120	chr_00	234		Hypothetical protein	   
Ec-00_000130	chr_00	390		Hypothetical protein	   
Ec-00_000140	chr_00	3976		BRCT domain	GO:0005622
Ec-00_000150	chr_00	822	GBG-gametophyte	Ankyrin repeat-containing domain	   
Ec-00_000160	chr_00	600		Methylthiotransferase N-terminal	GO:0003824,GO:0009451,GO:0051539
Ec-00_000170	chr_00	1339		expressed unknown protein	   
Ec-00_000180	chr_00	291		Protein of unknown function DUF963	   
Ec-00_000190	chr_00	2682		hypothetical protein	   
Ec-00_000200	chr_00	279		ATPase V1 complex subunit H C-terminal	GO:0000221,GO:0015991,GO:0016820
Ec-00_000210	chr_00	1706		Cyclin-like	   
Ec-00_000230	chr_00	818		conserved unknown protein	   
Ec-00_000240	chr_00	1740		expressed unknown protein	   
Ec-00_000250	chr_00	390		Protein kinase-like domain	GO:0016772
Ec-00_000260	chr_00	465		Protein kinase domain	GO:0004672,GO:0005524,GO:0006468
Ec-00_000280	chr_00	105		Hypothetical protein	   
Ec-00_000290	chr_00	974		hypothetical protein	   
Ec-00_000300	chr_00	1874		hypothetical protein	   
Ec-00_000310	chr_00	458		hypothetical protein	   
Ec-00_000320	chr_00	1155	SBG-female	Glutathione S-transferase C-terminal-like	   
Ec-00_000330	chr_00	504		expressed unknown protein	   
Ec-00_000340	chr_00	509		EsV-1-164	   
Ec-00_000350	chr_00	1974		HRDC domain	GO:0003676,GO:0005622
Ec-00_000360	chr_00	1753		expressed unknown protein	GO:0005549,GO:0006810
Ec-00_000370	chr_00	1524		expressed unknown protein	   
Ec-00_000380	chr_00	3063		Protein kinase-like domain	GO:0016772
Ec-00_000390	chr_00	885		hypothetical protein	   
Ec-00_000400	chr_00	510		expressed unknown protein	   
Ec-00_000410	chr_00	663		RNA-binding protein Lupus La	GO:0003723,GO:0005634,GO:0006396,GO:0030529
Ec-00_000430	chr_00	713		expressed unknown protein	   
Ec-00_000440	chr_00	963		Metalloenzyme LuxS/M16 peptidase-like	GO:0003824,GO:0046872
Ec-00_000450	chr_00	900		hypothetical protein	   
Ec-00_000500	chr_00	1785		hypothetical protein	   
Ec-00_000510	chr_00	804		Cyclic nucleotide-binding-like	   
Ec-00_000520	chr_00	666		hypothetical protein putative	   
Ec-00_000530	chr_00	630		Myb transcription factor	NA
Ec-00_000540	chr_00	1835		expressed unknown protein	   
Ec-00_000550	chr_00	1056		N-acetylglucosaminyl transferase component	GO:0006506,GO:0016021,GO:0017176
Ec-00_000560	chr_00	465		hypothetical protein	   
Ec-00_000570	chr_00	225		conserved unknown protein	GO:0003883,GO:0006221
Ec-00_000580	chr_00	210		hypothetical protein	   
Ec-00_000590	chr_00	465		expressed unknown protein	   
Ec-00_000600	chr_00	549		hypothetical protein	   
Ec-00_000620	chr_00	729		hypothetical protein	   
Ec-00_000630	chr_00	1155		Protein kinase domain	GO:0004672,GO:0005524,GO:0006468
Ec-00_000640	chr_00	672		conserved unknown protein	GO:0005524,GO:0006298,GO:0030983
Ec-00_000650	chr_00	1512		Zinc finger RING-type	GO:0005515,GO:0008270
Ec-00_000660	chr_00	1028		Hypothetical protein	   
Ec-00_000670	chr_00	1225		Protein disulphide isomerase	GO:0045454
Ec-00_000680	chr_00	966		F-box domain	GO:0005515
Ec-00_000690	chr_00	629		hypothetical protein	   
Ec-00_000710	chr_00	609		hypothetical protein	   
Ec-00_000720	chr_00	588		Aldolase-type TIM barrel	GO:0003824
Ec-00_000730	chr_00	1530		Protein kinase-like domain	GO:0016772
Ec-00_000740	chr_00	1498		Hypothetical protein	   
Ec-00_000750	chr_00	354	GBG-sporophyte	hypothetical protein	   
Ec-00_000760	chr_00	960		hypothetical protein	   
Ec-00_000770	chr_00	1238		hypothetical protein	   
Ec-00_000780	chr_00	327		Cupin 1	GO:0045735
Ec-00_000790	chr_00	857		Glycosyltransferase DXD sugar-binding motif	   
Ec-00_000800	chr_00	342		hypothetical protein	   
Ec-00_000810	chr_00	558		hypothetical protein	   
Ec-00_000820	chr_00	717		Glycosyl transferase family 48	GO:0000148,GO:0003843,GO:0006075,GO:0016020
Ec-00_000830	chr_00	486		expressed unknown protein	GO:0006118,GO:0009055,GO:0051536
Ec-00_000840	chr_00	1226		Ribosomal protein S5 C-terminal	GO:0003735,GO:0005840,GO:0006412
Ec-00_000850	chr_00	366		hypothetical protein	   
Ec-00_000860	chr_00	3168		hypothetical protein	   
Ec-00_000870	chr_00	618		Carbohydrate-binding WSC	   
Ec-00_000880	chr_00	842		hypothetical protein	   
Ec-00_000890	chr_00	591		CBS domain	   
Ec-00_000900	chr_00	729		hypothetical protein	   
Ec-00_000910	chr_00	510		hypothetical protein	   
Ec-00_000920	chr_00	327		WLM	   
Ec-00_000930	chr_00	1353		conserved unknown protein	GO:0004190,GO:0006508
Ec-00_000940	chr_00	3266		Purple acid phosphatase N-terminal	GO:0003993,GO:0046872
Ec-00_000950	chr_00	2682		Serine/threonine/dual specificity protein kinase catalytic  domain	GO:0004672,GO:0005524,GO:0006468
Ec-00_000970	chr_00	4678		SEN1 protein 	GO:0005525,GO:0005874,GO:0007017
Ec-00_000980	chr_00	2575		CDC50/LEM3 family	GO:0016020
Ec-00_000990	chr_00	2475		Hypothetical leucine rich repeat protein	GO:0005515
Ec-00_001000	chr_00	2758	SBG-male,GBG-gametophyte	ATPase family AAA domain-containing protein 3 domain of unknown function DUF3523	GO:0005524 
Ec-00_001020	chr_00	1795	SBG-female	Zinc finger TFIIS-type	GO:0003676,GO:0006351,GO:0008270
Ec-00_001030	chr_00	204		hypothetical protein	   
